PAYER NAME,STATE NAME,Acronym,EXPANSION,Explanation,Coverage Status
1199SEIU Funds,New York,EV,Evicore,"EV indicates that the drug, service, or procedure requires review through Evicore before coverage is approved.",Coverage with Conditions
1199SEIU Funds,New York,PICA,PICA Program,Drugs managed or reviewed under the PICA Program for utilization management and clinical review.,Covered
1199SEIU Funds,New York,PA,Prior Authorization,"Our plan requires you or your prescriber to get prior authorization for certain drugs. This means that you will need to get approval from us before you fill your prescriptions. If you don’t get approval, we may not cover the drug.",Coverage with Conditions(PA Required)
1199SEIU Funds,New York,QL,Quantity Limits,"For certain drugs, our plan limits the amount of the drug that we will cover. For example, our plan provides 30 tablets per 30 days per prescription for atorvastatin. This may be in addition to a standard one‑month or three‑month supply.",Coverage with Conditions
1199SEIU Funds,New York,SP,Specialty Drugs,"Specialty drugs are used to treat difficult, long-term conditions. You may need to get this drug through a specialty pharmacy.",Coverage with Conditions
1199SEIU Funds,New York,Tier 1,Preferred Generic ,Generic or brand drugs that are available at the lowest cost share for the plan,Covered
1199SEIU Funds,New York,Tier 2,Preferred Brand Drugs,Generic or brand drugs that the plan offers at a higher cost to you than Tier 1 Preferred Generic drugs,Covered
1199SEIU Funds,New York,Tier 3,Preferred Brand,This tier includes preferred brand-name drugs as well as some generic drugs.,Coverage with Conditions
AARP Medicare Plans from United Healthcare,Alabama,Tier 1,Preferred Generic ,Generic or brand drugs that are available at the lowest cost share for the plan,Covered
AARP Medicare Plans from United Healthcare,Alabama,Tier 2,Preferred Brand Drugs,Generic or brand drugs that the plan offers at a higher cost to you than Tier 1 Preferred Generic drugs,Covered
AARP Medicare Plans from United Healthcare,Alabama,Tier 3,Preferred Brand,This tier includes preferred brand-name drugs as well as some generic drugs.,Coverage with Conditions
AARP Medicare Plans from United Healthcare,Alabama,Tier 4,Non-Preferred Drug,Specialty drugs or high-cost non-preferred brands,Covered
AARP Medicare Plans from United Healthcare,Alabama,Tier 5,Specialty Tier,Some injectables and other high-cost drugs,Covered
AARP Medicare Plans from United Healthcare,Alabama,PA,Prior Authorization,"Our plan requires you or your prescriber to get prior authorization for certain drugs. This means that you will need to get approval from us before you fill your prescriptions. If you don’t get approval, we may not cover the drug.",Coverage with Conditions(PA Required)
AARP Medicare Plans from United Healthcare,Alabama,QL,Quantity Limits,"For certain drugs, our plan limits the amount of the drug that we will cover. For example, our plan provides 30 tablets per 30 days per prescription for atorvastatin. This may be in addition to a standard one‑month or three‑month supply.",Coverage with Conditions
AARP Medicare Plans from United Healthcare,Alabama,ST,Step Therapy,"In some cases, our plan requires you to first try certain drugs to treat your medical condition before we will cover another drug for that condition. For example, if Drug A and Drug B both treat your medical condition, we may not cover Drug B unless you try Drug A first. If Drug A does not work for you, we will then cover Drug B.",Coverage with Conditions(ST Required)
AARP Medicare Plans from United Healthcare,Alabama,B/D,Medicare Part B or Part D,"Depending on how this drug is used, it may be covered by either Medicare Part B (doctor and
outpatient health care) or Medicare Part D (prescription drugs).",Coverage with Conditions
